BUA22CD,BUA22NM,BUA22NMW,BUA22NMG,BNG_E,BNG_N,LONG,LAT,OBJECTID,Shape__Area,Shape__Length
E63000243,Elwick, , ,445455.4317,532329.8515,-1.296474204,54.68397766,243,247500,5350
E63000244,Ferryhill, , ,429126.4052,532275.9103,-1.549742777,54.68469797,244,2244375,22800
E63000245,Fishburn, , ,436428.9206,532058.3714,-1.436506868,54.68226964,245,588125,5650
E63000246,Bishop Middleham, , ,433107.6515,531554.6397,-1.488074231,54.67797143,246,364375,5500
E63000247,Great Broughton and Little Broughton, , ,307385.761,531546.5453,-3.437588733,54.67044755,247,560625,8100
E63000248,Witton-le-Wear, , ,414433.9209,531480.5945,-1.777672276,54.67818273,248,315000,6600
E63000249,Siddick, , ,300308.2759,531228.6306,-3.547180269,54.66623992,249,420000,8300
E63000250,Kirk Merrington, , ,426073.7933,531218.7095,-1.597184104,54.67536409,250,271250,5000
E63000251,Newton Rigg, , ,349202.9819,531047.0227,-2.789183029,54.67191821,251,245625,3000
E63000252,Greystoke, , ,344064.7915,530947.4267,-2.868827595,54.67047805,252,393750,8450
E63000253,Hamsterley, , ,412036.0375,530922.904,-1.814882037,54.67323343,253,245625,6350
E63000254,Seaton (Allerdale), , ,301632.8497,530563.1846,-3.526427449,54.66052241,254,1527500,16700
E63000255,Cockermouth, , ,312445.5186,530470.0897,-3.358834734,54.66168201,255,2868125,32150
E63000256,Brigham, , ,308752.261,530276.4474,-3.416010043,54.65928666,256,315625,7500
E63000257,Penrith, , ,351472.1421,530254.5908,-2.753868689,54.66502164,257,5140625,30200
E63000258,Witton Park, , ,417435.9189,529880.2953,-1.731211631,54.66370731,258,275625,9700
E63000259,Culgaith, , ,361069.1416,529803.5868,-2.605031917,54.66180353,259,246875,7300
E63000260,Coundon and Leeholme, , ,424270.0533,529776.1555,-1.625273849,54.66249034,260,911875,11050
E63000261,Great Clifton, , ,304089.1334,529644.962,-3.488062479,54.65274719,261,245625,4050
E63000262,Chilton (County Durham), , ,428544.5428,529637.3577,-1.559024506,54.66102013,262,1659375,15900
E63000263,Greysouthen, , ,307164.944,529013.5058,-3.440206124,54.64765051,263,224375,6000
E63000264,Stainburn, , ,302190.0238,528895.1843,-3.517234867,54.64564641,264,646250,8800
E63000265,Sedgefield, , ,435577.7847,528867.0064,-1.450094661,54.65365192,265,1777500,13800
E63000266,Toft Hill and High Etherley, , ,416309.6155,528372.8414,-1.748755853,54.6501979,266,729375,14450
E63000267,Bishop Auckland, , ,419911.508,528364.643,-1.692936152,54.64999571,267,6675625,52150
E63000268,Workington, , ,299900.6832,528276.7051,-3.552485655,54.63964083,268,7277500,48600
E63000269,Stainton (Eden), , ,348445.8865,528186.3932,-2.800415757,54.64613617,269,398750,6450
E63000270,Eldon Lane and Coundon Grange, , ,422785.8416,527942.8662,-1.64842434,54.64608441,270,278750,7500
E63000271,Greatham (Hartlepool), , ,449350.459,527664.9515,-1.236851275,54.6416939,271,308125,5500
E63000272,Temple Sowerby, , ,361048.8833,527099.1833,-2.604984741,54.63749972,272,233125,5100
E63000273,Cliburn, , ,357841.4493,527018.3277,-2.654662221,54.63651465,273,770625,17600
E63000274,Wynyard, , ,443312.415,526790.4781,-1.330529848,54.6343889,274,3178750,38400
E63000275,Sockbridge, , ,350070.9642,526698.9583,-2.774981322,54.6329341,275,280625,7300
E63000276,Clifton (Eden), , ,353676.6885,526300.5165,-2.719065931,54.62969834,276,223125,5050
E63000277,West Auckland, , ,418197.9149,526240.4563,-1.719623678,54.63097088,277,847500,9050
E63000278,Shildon, , ,423085.0105,526175.9178,-1.643927136,54.63019216,278,3183750,26900
E63000279,Kirkby Thore, , ,363813.3919,525742.7094,-2.561988549,54.62551653,279,321875,7500
E63000280,Wolviston, , ,445181.5342,525657.4312,-1.301750538,54.62404385,280,325000,3750
E63000281,High Harrington, , ,300579.8011,525577.4768,-3.541050205,54.61552685,281,440625,6350
